source_scope,emi,method,frequency,staleness_s,population,classification,machine_atol_wm2,quantization_atol_wm2,deadband_atol_wm2,sample_count,mean_wm2,median_wm2,std_wm2,mae_wm2,rmse_wm2,p01_wm2,p05_wm2,p50_wm2,p95_wm2,p99_wm2,max_abs_wm2,proportion_below_machine,proportion_below_quantization,proportion_below_deadband
historical_xlsx,ALL,aligned_backward,1min,60,daylight_provisional,measured,,,,164675,51.8988310308,48,139.987703217,89.0270897222,149.298512097,-422,-126,48,238,579,1090,0.00622438135722,0.0200030362836,0.0397813875816
historical_xlsx,ALL,aligned_backward,1min,120,all,measured,,,,184932,50.5756169835,44,137.327052127,84.6248891484,146.344156969,-408,-102,44,227,595,1122,0.0115664136007,0.0282968875046,0.0519920835767
historical_xlsx,ALL,aligned_backward,1min,120,active_components,measured,,,,181108,51.3012953597,45,137.895299139,85.9878139011,147.128978893,-411,-108,45,230,595,1080,0.00520131634163,0.0182874307043,0.0393356450295
historical_xlsx,ALL,aligned_backward,1min,120,night_flat,measured,,,,3824,16.2068514644,0,101.220531871,20.0755753138,102.509795174,-20,-11,0,23,646.54,1122,0.313023012552,0.502353556485,0.651412133891
historical_xlsx,ALL,aligned_backward,1min,120,daylight_provisional,measured,,,,184345,50.7362119938,44,137.515970199,84.8937535599,146.57696022,-408,-103,44,228,596,1122,0.00856546149882,0.0253437847514,0.0491090075673
historical_xlsx,ALL,aligned_backward,1min,300,all,measured,,,,212251,48.0758158972,39,134.457416174,79.1387837984,142.793840337,-390,-82,39,214,602.5,1252,0.0194251146049,0.0417194736421,0.0716745739714
historical_xlsx,ALL,aligned_backward,1min,300,active_components,measured,,,,205094,49.0470808507,40,135.076744059,81.0856095254,143.705751192,-397,-89,40,216,600,1080,0.00679200756726,0.0230089617444,0.049075058266
historical_xlsx,ALL,aligned_backward,1min,300,night_flat,measured,,,,7157,20.2428391784,0,111.774201485,23.3497275395,113.592449818,-19,-10,0,27,714,1252,0.381444739416,0.577895766383,0.719295794327
historical_xlsx,ALL,aligned_backward,1min,300,daylight_provisional,measured,,,,210897,48.383395686,39,134.833345264,79.6456611521,143.251471103,-391,-83,39,215,604,1252,0.0134283560221,0.0358611075549,0.0660037838376
historical_xlsx,ALL,aligned_backward,1min,900,all,measured,,,,266457,44.5662527162,30,132.0126137,71.9208953039,139.332268542,-362.44,-60,30,203,637,1252,0.0385315454276,0.0723643965068,0.11300510026
historical_xlsx,ALL,aligned_backward,1min,900,active_components,measured,,,,250178,45.719519702,33,132.078228569,74.7278977368,139.767424473,-373,-70,33,204,615,1095,0.010012870836,0.0325128508502,0.0678756725212
historical_xlsx,ALL,aligned_backward,1min,900,night_flat,measured,,,,16279,26.8426807543,0,129.716851576,28.7824804963,132.46505612,-18,-6,0,129.5,852.22,1252,0.476810614903,0.68480864918,0.806560599545
historical_xlsx,ALL,aligned_backward,1min,900,daylight_provisional,measured,,,,262612,45.215766987,31,132.865506388,72.9708124534,140.348524652,-365,-62,31,206,644,1252,0.0252273315766,0.0595517341173,0.100783665636
historical_xlsx,ALL,direct_coincident,,,all,measured,,,,321084,50.5135945734,53,144.056580661,98.7855296433,152.656220536,-389,-201,53,257,545,1090,0.00564649748975,0.0145257938733,0.0271642311669
historical_xlsx,ALL,direct_coincident,,,active_components,measured,,,,319332,50.6141539213,53,144.079831086,99.1350913783,152.711460941,-390,-202,53,257,544,1071,0.00315345784325,0.011452031115,0.02350531735
historical_xlsx,ALL,direct_coincident,,,night_flat,measured,,,,1752,32.1849315068,0,138.540443138,35.0719178082,142.229828802,-19.49,-9,0,256,871,1090,0.4600456621,0.574771689498,0.694063926941
historical_xlsx,ALL,direct_coincident,,,daylight_provisional,measured,,,,320563,50.5953431931,53,144.159309721,98.945732976,152.780219047,-390,-201,53,257,546,1090,0.00411775532423,0.0130114829222,0.0256704610326
raw_cov,EMI01,direct_coincident,,,all,measured,4.44799752586e-12,2,4,272,162.816176471,0,354.627356245,253.595588235,390.217463881,-803,-283,0,878.45,994.03,1090,0.330882352941,0.330882352941,0.330882352941
raw_cov,EMI01,direct_coincident,,,active_components,measured,4.44799752586e-12,2,4,42,-288.976190476,-197.5,245.147913377,288.976190476,378.952158056,-803,-803,-197.5,-56.6,-54.23,803,0,0,0
raw_cov,EMI01,direct_coincident,,,night_flat,measured,4.44799752586e-12,2,4,230,245.317391304,121.5,306.057737026,247.134782609,392.239672738,-30.23,0,121.5,883.95,996.97,1090,0.391304347826,0.391304347826,0.391304347826
raw_cov,EMI01,direct_coincident,,,daylight_provisional,measured,4.44799752586e-12,2,4,218,203.146788991,170,385.641318014,316.412844037,435.875950285,-803,-339.9,170,894.3,997.81,1090,0.165137614679,0.165137614679,0.165137614679
raw_cov,EMI01,aligned_backward,1min,60,all,measured,4.44799752586e-12,2,4,145,190.606896552,38,359.958643152,274.882758621,407.309727103,-635.24,-255.2,38,894.2,988.88,1090,0.289655172414,0.289655172414,0.289655172414
