full_tag,site_label,sts,wb,emi,raw_parameter,canonical_parameter,parameter_class,channel_group,event_count,source_zip_count,source_csv_count,coverage_start_raw,coverage_end_raw,timestamp_shape,zero_change_count,nonzero_change_count,deadband_estimate,deadband_support,deadband_support_fraction,deadband_relative_mad,deadband_confidence,deadband_lower_anomaly_count,deadband_unresolved_reason,interarrival_p50_s,interarrival_p90_s,interarrival_p99_s,max_gap_s,active_interval_count,active_interarrival_p50_s,active_interarrival_p90_s,active_interarrival_p99_s,max_active_gap_s,max_active_gap_start_ns,max_active_gap_end_ns,flat_or_night_interval_count,flat_interarrival_p50_s,flat_interarrival_p90_s,flat_interarrival_p99_s,observed_heartbeat_candidate_s,heartbeat_support,heartbeat_support_fraction,heartbeat_coefficient_of_variation,heartbeat_confidence,heartbeat_unresolved_reason,configured_max_report_time_status,sibling_events_during_max_active_gap,abs_delta_min,abs_delta_p01,abs_delta_p05,abs_delta_p50,abs_delta_p90,abs_delta_p99,event_count_before_integrity,event_count_after_integrity,exact_duplicate_count,timestamp_conflict_count,order_violation_count
PLTS IKN / STS06 / WB06_EMI03 / MEAS / WIND SPEED,PLTS IKN,STS06,WB06,EMI03,WIND SPEED,WIND SPEED,meteorological,,81804,1,2,2026-06-01 01:58:47.097,2026-06-30 23:59:59.237,naive,197,81606,0.1,34092,0.4177634,2.77555756e-16,high,0,,19.84,26.417,135.09914,37878.454,0,,,,,,,0,,,,,154,0.781725888,0.608536016,unresolved,no stable repeated-value interval cluster,unknown,0,0.1,0.1,0.1,0.2,0.9,2.2,81804,81804,0,0,0
PLTS IKN / STS09 / WB09_EMI01 / MEAS / AMBIENT AIR HUMIDITY,PLTS IKN,STS09,WB09,EMI01,AMBIENT AIR HUMIDITY,AMBIENT AIR HUMIDITY,meteorological,,79651,1,2,2026-06-01 00:00:05.331,2026-06-30 23:59:55.972,naive,217,79433,0.099999,79226,0.99739403,1.00001e-05,high,0,,13.248,72.877,283.96829,17334.655,0,,,,,,,0,,,,,161,0.741935484,0.719616465,unresolved,no stable repeated-value interval cluster,unknown,0,0.099998,0.099998,0.099998,0.099999,0.100006,0.100006,79651,79651,0,0,0
PLTS IKN / STS09 / WB09_EMI01 / MEAS / AMBIENT AIR TEMP,PLTS IKN,STS09,WB09,EMI01,AMBIENT AIR TEMP,AMBIENT AIR TEMP,meteorological,,13690,1,1,2026-06-01 00:01:08.209,2026-06-30 23:59:59.299,naive,235,13454,0.1,10911,0.81098558,9.99999997e-06,high,0,,122.585,383.2306,991.63956,3172.983,0,,,,,,,0,,,,,155,0.659574468,0.591469038,unresolved,no stable repeated-value interval cluster,unknown,0,0.099998,0.099998,0.099998,0.100001,0.2,0.299999,13690,13690,0,0,0
PLTS IKN / STS09 / WB09_EMI01 / MEAS / DAILY RAINFALL,PLTS IKN,STS09,WB09,EMI01,DAILY RAINFALL,DAILY RAINFALL,meteorological,,458,1,1,2026-06-01 07:24:17.852,2026-06-30 23:59:09.606,naive,280,177,0.2,120,0.677966102,8.32667268e-16,high,3,,66.377,18502.2738,63970.764,100641.923,0,,,,,,,0,,,,,155,0.553571429,0.592605162,unresolved,no stable repeated-value interval cluster,unknown,0,0.1,0.1,0.2,0.2,1,6.076,458,458,0,0,0
PLTS IKN / STS09 / WB09_EMI01 / MEAS / DHI DAILY ACCUM,PLTS IKN,STS09,WB09,EMI01,DHI DAILY ACCUM,DHI Daily Acummulation,irradiance_accumulation,,5887,1,1,2026-06-01 06:24:03.862,2026-06-30 14:38:24.472,naive,277,5609,0.002778,2411,0.429844892,7.99296634e-14,high,0,,62.7375,122.507,11640.4964,100641.923,0,,,,,,,0,,,,,155,0.559566787,0.593639533,unresolved,no stable repeated-value interval cluster,unknown,0,0.002777,0.002777,0.002777,0.005555,0.013888,0.016667,5887,5887,0,0,0
PLTS IKN / STS09 / WB09_EMI01 / MEAS / DHI MONTHLY ACCUM,PLTS IKN,STS09,WB09,EMI01,DHI MONTHLY ACCUM,DHI Monthly Acummulation,irradiance_accumulation,,403,1,1,2026-06-01 07:24:17.852,2026-06-30 14:38:24.472,naive,280,122,0.277778,121,0.991803279,3.59999714e-06,high,0,,1358.254,16373.7175,67006.8317,100641.923,0,,,,,,,0,,,,,155,0.553571429,0.592576772,unresolved,no stable repeated-value interval cluster,unknown,0,0.277775,0.277775,0.277775,0.277778,0.277779,0.277779,403,403,0,0,0
PLTS IKN / STS09 / WB09_EMI01 / MEAS / DHI YEARLY ACCUM,PLTS IKN,STS09,WB09,EMI01,DHI YEARLY ACCUM,DHI Yearly Acummulation,irradiance_accumulation,,401,1,1,2026-06-01 07:24:17.852,2026-06-30 14:38:24.472,naive,280,120,0.277771,119,0.991666667,0,high,0,,1362.0265,16438.5914,67073.1812,100641.923,0,,,,,,,0,,,,,155,0.553571429,0.592544943,unresolved,no stable repeated-value interval cluster,unknown,0,0.277771,0.277771,0.277771,0.277771,0.277832,0.277832,401,401,0,0,0
PLTS IKN / STS09 / WB09_EMI01 / MEAS / DIFFUSE HORIZONTAL IRRADIANCE (DHI),PLTS IKN,STS09,WB09,EMI01,DIFFUSE HORIZONTAL IRRADIANCE (DHI),Diffuse Horizontal Irradiance (DHI),instantaneous_irradiance,DHI,14342,1,1,2026-06-01 06:11:48.054,2026-06-30 14:38:24.472,naive,268,14073,1,4287,0.304625879,0,high,0,,19.949,59.754,192.7026,100641.923,14113,19.949,59.673,148.70048,44393.187,1.78094158e+18,1.78098597e+18,228,15.477,29328.4253,69030.7759,,153,0.570895522,0.577075546,unresolved,no stable repeated-value interval cluster,unknown,0,1,1,1,3,40,401.56,14342,14342,0,0,0
PLTS IKN / STS09 / WB09_EMI01 / MEAS / DIRECT HORIZONTAL IRRADIANCE (DNI*cosZ),PLTS IKN,STS09,WB09,EMI01,DIRECT HORIZONTAL IRRADIANCE (DNI*cosZ),Direct Horizontal Irradiance (DNIcosZ),instantaneous_irradiance,DNIcosZ,283,1,1,2026-06-01 07:24:17.852,2026-06-30 14:38:24.472,naive,280,2,,0,0,,unresolved,0,insufficient positive deltas for a supported lower-edge cluster,15.4215,35971.7116,82206.6688,100641.923,0,,,,,,,282,15.4215,35971.7116,82206.6688,,155,0.553571429,0.592584645,unresolved,no stable repeated-value interval cluster,unknown,0,2,2,2,2,2,2,283,283,0,0,0
PLTS IKN / STS09 / WB09_EMI01 / MEAS / DNI*cosZ DAILY ACCUM,PLTS IKN,STS09,WB09,EMI01,DNI*cosZ DAILY ACCUM,DNIcosZ Daily Acummulation,irradiance_accumulation,,281,1,1,2026-06-01 07:24:17.852,2026-06-30 14:38:24.472,naive,280,0,,0,0,,unresolved,0,insufficient positive deltas for a supported lower-edge cluster,15.4215,36470.1622,82380.4624,100641.923,0,,,,,,,0,,,,,155,0.553571429,0.592584645,unresolved,no stable repeated-value interval cluster,unknown,0,,,,,,,281,281,0,0,0
