source_zip,source_csv,full_tag,row_count,timestamp_shape,coverage_start_raw,coverage_end_raw,order_violation_count
trends_export_1783133289804.zip,trends_export_tmp1783133290192.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / POA DAILY ACCUM,11780,naive,2026-06-01 07:24:18.087000,2026-06-30 23:57:05.349000,0
trends_export_1783133301267.zip,trends_export_tmp1783133301530.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / POA MONTHLY ACCUM,632,naive,2026-06-01 07:24:18.087000,2026-06-30 16:54:10.943000,0
trends_export_1783133308627.zip,trends_export_tmp1783133308896.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / POA YEARLY ACCUM,632,naive,2026-06-01 07:24:18.087000,2026-06-30 17:22:57.164000,0
trends_export_1783133316970.zip,trends_export_tmp1783133317228.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / PRESSURE,272,naive,2026-06-01 07:24:18.087000,2026-06-30 14:38:25.113000,0
trends_export_1783133323101.zip,trends_export_tmp1783133323487.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / PV MODUL TEMP 01,10431,naive,2026-06-01 07:24:18.087000,2026-06-30 23:33:53.468000,0
trends_export_1783133328980.zip,trends_export_tmp1783133329368.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / PV MODUL TEMP 02,10589,naive,2026-06-01 07:24:18.087000,2026-06-30 23:47:27.994000,0
trends_export_1783133335226.zip,trends_export_tmp1783133335604.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / PV MODUL TEMP 03,10294,naive,2026-06-01 07:24:18.087000,2026-06-30 23:46:21.992000,0
trends_export_1783133344524.zip,trends_export_tmp1783133344808.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / RSI DAILY ACCUM 01,1038,naive,2026-06-01 07:24:18.087000,2026-06-30 23:57:05.349000,0
trends_export_1783133350028.zip,trends_export_tmp1783133350299.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / RSI DAILY ACCUM 02,936,naive,2026-06-01 07:24:18.087000,2026-06-30 23:57:05.349000,0
trends_export_1783133356013.zip,trends_export_tmp1783133356283.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / RSI DAILY ACCUM 03,1010,naive,2026-06-01 07:24:18.087000,2026-06-30 23:57:05.349000,0
trends_export_1783133364386.zip,trends_export_tmp1783133364644.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / RSI MONTHLY ACCUM 01,280,naive,2026-06-01 07:24:18.087000,2026-06-30 14:38:25.113000,0
trends_export_1783133370583.zip,trends_export_tmp1783133370845.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / RSI MONTHLY ACCUM 02,279,naive,2026-06-01 07:24:18.087000,2026-06-30 14:38:25.113000,0
trends_export_1783133377214.zip,trends_export_tmp1783133377473.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / RSI MONTHLY ACCUM 03,280,naive,2026-06-01 07:24:18.087000,2026-06-30 14:38:25.113000,0
trends_export_1783133382878.zip,trends_export_tmp1783133383145.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / RSI YEARLY ACCUM 01,280,naive,2026-06-01 07:24:18.087000,2026-06-30 14:38:25.113000,0
trends_export_1783133389112.zip,trends_export_tmp1783133389390.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / RSI YEARLY ACCUM 02,279,naive,2026-06-01 07:24:18.087000,2026-06-30 14:38:25.113000,0
trends_export_1783133396453.zip,trends_export_tmp1783133396718.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / RSI YEARLY ACCUM 03,280,naive,2026-06-01 07:24:18.087000,2026-06-30 14:38:25.113000,0
trends_export_1783133418134.zip,trends_export_tmp1783133418981.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / WIND DIRECTION,60000,naive,2026-06-01 07:24:18.087000,2026-06-18 19:46:04.694000,0
trends_export_1783133418134.zip,trends_export_tmp1783133419844.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / WIND DIRECTION,60000,naive,2026-06-18 19:46:08.006000,2026-06-27 23:50:46.968000,0
trends_export_1783133418134.zip,trends_export_tmp1783133420391.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / WIND DIRECTION,21994,naive,2026-06-27 23:50:56.857000,2026-06-30 23:59:53.394000,0
trends_export_1783133435861.zip,trends_export_tmp1783133436697.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / WIND SPEED,60000,naive,2026-06-01 07:24:18.087000,2026-06-29 16:44:35.662000,0
trends_export_1783133435861.zip,trends_export_tmp1783133437102.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / WIND SPEED,6903,naive,2026-06-29 16:44:58.798000,2026-06-30 23:59:59.955000,0
trends_export_1783133458781.zip,trends_export_tmp1783133459664.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / AMBIENT AIR HUMIDITY,60000,naive,2026-06-01 06:41:31.484000,2026-06-23 13:30:35.598000,0
trends_export_1783133458781.zip,trends_export_tmp1783133460248.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / AMBIENT AIR HUMIDITY,21362,naive,2026-06-23 13:31:02.030000,2026-06-30 23:59:55.941000,1
trends_export_1783133473044.zip,trends_export_tmp1783133473494.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / AMBIENT AIR TEMP,15671,naive,2026-06-01 00:02:46.377000,2026-06-30 23:59:09.793000,0
trends_export_1783133480643.zip,trends_export_tmp1783133480907.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / DAILY RAINFALL,474,naive,2026-06-01 07:24:17.306000,2026-06-30 23:59:09.793000,0
trends_export_1783133488308.zip,trends_export_tmp1783133488741.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / DHI DAILY ACCUM,17637,naive,2026-06-01 00:58:31.108000,2026-06-30 17:53:35.411000,0
trends_export_1783133495737.zip,trends_export_tmp1783133496002.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / DHI MONTHLY ACCUM,800,naive,2026-06-01 06:32:00.846000,2026-06-30 16:46:57.950000,0
trends_export_1783133504315.zip,trends_export_tmp1783133504584.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / DHI YEARLY ACCUM,774,naive,2026-06-01 07:24:17.306000,2026-06-30 16:16:02.722000,0
trends_export_1783133520022.zip,trends_export_tmp1783133520758.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / DIFFUSE HORIZONTAL IRRADIANCE (DHI),46968,naive,2026-06-01 06:08:41.513000,2026-06-30 18:01:33.817000,1
trends_export_1783133528371.zip,trends_export_tmp1783133528634.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / DIRECT HORIZONTAL IRRADIANCE (DNI*cosZ),403,naive,2026-06-01 07:24:17.306000,2026-06-30 14:38:23.957000,0
trends_export_1783133534154.zip,trends_export_tmp1783133534411.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / DNI*cosZ DAILY ACCUM,279,naive,2026-06-01 07:24:17.306000,2026-06-30 14:38:23.957000,0
trends_export_1783133542190.zip,trends_export_tmp1783133542456.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / DNI*cosZ MONTHLY ACCUM,271,naive,2026-06-01 07:24:17.306000,2026-06-30 14:38:23.957000,0
trends_export_1783133549064.zip,trends_export_tmp1783133549343.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / DNI*cosZ YEARLY ACCUM,271,naive,2026-06-01 07:24:17.306000,2026-06-30 14:38:23.957000,0
trends_export_1783133558723.zip,trends_export_tmp1783133559235.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / GHI DAILY ACCUM,16943,naive,2026-06-01 00:58:31.108000,2026-06-30 17:57:49.533000,0
trends_export_1783133566875.zip,trends_export_tmp1783133567138.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / GHI MONTHLY ACCUM,736,naive,2026-06-01 07:24:17.306000,2026-06-30 16:14:03.824000,0
trends_export_1783133573617.zip,trends_export_tmp1783133573886.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / GHI YEARLY ACCUM,722,naive,2026-06-01 07:24:17.306000,2026-06-30 16:16:48.932000,0
trends_export_1783133586113.zip,trends_export_tmp1783133586830.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / GLOBAL HORIZONTAL IRRADIANCE (GHI),45025,naive,2026-06-01 06:11:10.093000,2026-06-30 18:00:21.346000,0
trends_export_1783133598001.zip,trends_export_tmp1783133598260.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / GLOBAL INCLINED IRRADIANCE (POA),271,naive,2026-06-01 07:24:17.306000,2026-06-30 14:38:23.957000,0
trends_export_1783133604734.zip,trends_export_tmp1783133604996.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / IN-PLANE REAR-SIDE IRRADIANCE (RSI) 01,271,naive,2026-06-01 07:24:17.306000,2026-06-30 14:38:23.957000,0
